date,district,rainfall,temperature,humidity,opd_visits,ambulance_calls,idsp_cases,larval_index,medicine_stock,disease_cases,risk,disease
2024-06-01,Chennai,20,32,70,180,35,,5,80,40,0,Flu
2024-06-02,Chennai,25,33,72,200,40,,6,78,50,0,Flu
2024-06-03,Chennai,60,33,80,250,60,,8,75,90,1,Dengue
2024-06-04,Chennai,100,35,85,400,90,85,12,70,180,1,Dengue
2024-06-05,Chennai,30,31,75,150,30,,6,85,50,0,Cholera

2024-06-01,Coimbatore,10,30,65,120,20,,4,90,25,0,Flu
2024-06-02,Coimbatore,20,31,68,150,25,,5,88,40,0,Flu
2024-06-03,Coimbatore,40,32,75,200,45,,7,85,70,0,Typhoid
2024-06-04,Coimbatore,80,34,82,280,70,75,10,80,130,1,Typhoid
2024-06-05,Coimbatore,110,35,88,350,95,,14,75,200,1,Dengue

2024-06-01,Madurai,15,31,68,140,30,,4,85,30,0,Flu
2024-06-02,Madurai,30,32,70,180,35,,5,83,50,0,Flu
2024-06-03,Madurai,50,33,78,230,55,,8,80,85,1,Cholera
2024-06-04,Madurai,90,34,85,320,80,90,12,75,160,1,Typhoid
2024-06-05,Madurai,130,36,90,500,120,,15,70,300,1,Respiratory Infection

2024-06-01,Salem,25,31,70,160,28,,5,88,45,0,Flu
2024-06-02,Salem,40,32,72,190,35,,6,85,60,0,Flu
2024-06-03,Salem,70,33,80,260,60,,9,82,110,1,Dengue
2024-06-04,Salem,95,34,85,340,85,95,12,78,170,1,Typhoid
2024-06-05,Salem,120,35,90,420,110,,15,72,260,1,Respiratory Infection

2024-06-01,Trichy,20,30,68,130,25,,4,90,35,0,Flu
2024-06-02,Trichy,35,31,70,170,30,,5,88,50,0,Flu
2024-06-03,Trichy,60,32,78,240,55,,8,85,95,1,Cholera
2024-06-04,Trichy,85,34,85,310,80,88,11,80,150,1,Dengue
2024-06-05,Trichy,140,36,92,550,130,,16,70,350,1,Respiratory Infection
