date,district,rainfall,temperature,humidity,opd_visits,ambulance_calls,idsp_cases,larval_index,medicine_stock,disease_cases,risk,disease
2024-01-01,Chennai,55,31,76,263,53,,13,74,110,1,Cholera
2024-01-02,Chennai,40,29,87,424,60,,12,58,184,0,Typhoid
2024-01-03,Chennai,112,29,62,486,89,,17,52,181,1,Respiratory Infection
2024-01-04,Chennai,42,30,88,315,76,,13,69,173,0,Typhoid
2024-01-05,Chennai,129,32,89,349,46,,21,66,135,1,Dengue
2024-01-06,Chennai,12,27,63,428,115,,7,58,236,0,Typhoid
2024-01-07,Chennai,35,28,71,373,51,141.0,10,63,94,0,Typhoid
2024-01-08,Chennai,32,32,92,489,145,,12,52,135,1,Respiratory Infection
2024-01-09,Chennai,82,30,83,198,29,,16,81,44,1,Dengue
2024-01-10,Chennai,31,28,72,222,47,,10,78,67,0,Flu
2024-01-11,Chennai,50,31,88,439,77,,13,57,261,0,Typhoid
2024-01-12,Chennai,0,27,66,372,59,,6,63,80,0,Typhoid
2024-01-13,Chennai,0,32,93,193,26,,9,81,46,0,Flu
2024-01-14,Chennai,45,30,92,442,70,215.0,13,56,252,0,Typhoid
2024-01-15,Chennai,90,28,65,523,68,,15,48,200,1,Respiratory Infection
2024-01-16,Chennai,76,30,82,465,72,,15,54,142,1,Respiratory Infection
2024-01-17,Chennai,88,30,85,107,17,,17,90,60,1,Dengue
2024-01-18,Chennai,86,29,61,213,50,,14,79,91,1,Cholera
2024-01-19,Chennai,48,29,92,209,50,,14,80,109,0,Flu
2024-01-20,Chennai,5,29,87,252,70,,9,75,58,0,Typhoid
2024-01-21,Chennai,0,29,89,169,45,65.0,8,84,99,0,Flu
2024-01-22,Chennai,31,27,69,182,33,,10,82,101,0,Flu
2024-01-23,Chennai,68,31,88,513,120,,15,49,106,1,Respiratory Infection
2024-01-24,Chennai,113,27,61,425,112,,17,58,180,1,Cholera
2024-01-25,Chennai,63,30,60,233,68,,12,77,98,1,Cholera
2024-01-26,Chennai,40,28,92,430,70,,13,57,86,0,Typhoid
2024-01-27,Chennai,85,32,72,473,56,,15,53,128,1,Respiratory Infection
